TYPE,WEIGHT_G,LENGTH_CM,CIRCUM_CM,CIRCUM_ACTUAL_CM,RODENT,PICTURE_ID,ADJUSTED_ID,MERGED ID,ONEKK_LENGTH,ONEKK_WIDTH,ONEKK_AREA_MM2
KOTOBUKI,131.6,25,14.5,9,,K45,K45,K45,273.2661525,49.77966161,7673.005475
KOTOBUKI,73.8,16,14,8.5,,K46,K46,K46,172.0847388,41.57169674,4450.825023
KOTOBUKI,72.5,12,15,9.5,,K47,K47,K47,139.2373188,42.33837645,3708.951479
KOTOBUKI,71,16.5,13.5,8,,K48,K48,K48,171.6326154,49.83355944,4256.565679
KOTOBUKI,46.6,15,13,7.5,,K49,K49,K49,164.4585568,31.27905256,3152.047135
KOTOBUKI,76,18,13,7.5,,K50,K50,K50,189.3648984,52.42909557,4798.988357
LSU PURPLE,632.9,21,30,24.5,,L1,L01,L01,245.5633567,101.9942332,18369.9274
LSU PURPLE,672.7,22,32,26.5,,L2,L02,L02,242.5929817,107.7390094,18465.84524
LSU PURPLE,403.2,22,27,21.5,,L3,L03,L03,276.0638514,88.69559336,13051.21056
LSU PURPLE,530.5,21,30,24.5,,L4,L04,L04,226.2906577,96.79758084,15445.2549
LSU PURPLE,433.3,20,27.5,22,,L5,L05,L05,224.9791267,93.69955814,13425.91204
LSU PURPLE,381.6,20,29,23.5,,L6,L06,L06,250.6572319,95.03897667,12075.28655
LSU PURPLE,221.1,19,21,15.5,,L7,L07,L07,230.3669794,81.3174296,9151.571742
LSU PURPLE,272.6,19,21.5,16,,L8,L08,L08,226.0366152,91.38899429,11163.18245
LSU PURPLE,167.7,15,21,15.5,,L9,L09,L09,160.2589308,62.55365247,6496.922224
LSU PURPLE,328.4,20,25,19.5,,L10,L10,L10,221.4822208,135.3574162,11984.82464
LSU PURPLE,150.5,20,18,12.5,,L11,L11,L11,232.8321189,71.40583791,7421.008464
LSU PURPLE,319,18,24,18.5,damage,L12,L12,L12,201.9665998,80.33682054,11419.24499
LSU PURPLE,248,17,24,18.5,damage,L13,L13,L13,192.5867356,71.70031408,9136.840647
LSU PURPLE,199,17,22,16.5,damage,L14,L14,L14,187.9209562,68.8513633,7974.662267
LSU PURPLE,206.1,13,25,19.5,damage,L15,L15,L15,152.4800562,77.27361195,8642.483949
LSU PURPLE,116.1,10,21,15.5,damage,L16,L16,L16,136.3457405,73.72271593,5039.440585
LSU PURPLE,86.7,10,20,14.5,damage,L17,L17,L17,111.4684343,49.68129737,3556.476327
LSU PURPLE,71.5,15,17,11.5,damage,L18,L18,L18,173.9066,58.57183808,4351.891482
purple passion,40.4,15,12,6.5,,P1,P01,P01,164.068689,37.92441881,2945.16101
purple passion,315.5,17,24,18.5,,P2,P02,P02,191.7867424,73.54103072,9972.966714
purple passion,164.6,22,17,11.5,,P3,P03,P03,243.0345034,45.90398415,7868.741472
purple passion,197,18.5,18.5,13,,P4,P04,P04,203.1256285,57.38472076,8180.160016
purple passion,307,20,23.5,18,,P5,P05,P05,229.9052006,71.64428859,10935.55951
purple passion,136.5,17,17,11.5,,P6,P06,P06,186.5755236,46.98400716,6389.610355
purple passion,48,14.5,13,7.5,damaged,P7,P07,P07,162.0087584,41.92981129,3276.99342
purple passion,82.4,24.5,13,7.5,,P8,P08,P08,295.1425817,36.24647529,5798.78101
purple passion,288.6,26,19.5,14,,P9,P09,P09,278.3649715,99.94287709,11527.0278
purple passion,241.2,21,21,15.5,,P10,P10,P10,229.590084,66.02735321,9333.939533
purple passion,201.6,20.5,16.5,11,,P11,P11,P11,216.8505694,75.08235585,8519.921749
purple passion,203.7,23,19,13.5,,P12,P12,P12,247.3811009,58.40184945,8727.892036
purple passion,111,19,16.5,11,,P13,P13,P13,199.7195791,47.47716837,5553.442856
purple passion,64,17.5,13,7.5,,P14,P14,P14,183.9858322,42.78089103,4041.883459
purple passion,37.8,17,12,6.5,,P15,P15,P15,177.7146227,43.20072693,2972.260509
purple passion,41.3,16,11.5,6,,P16,P16,P16,179.2990505,40.7859395,3207.489473
purple passion,65.5,16,14,8.5,,P17,P17,P17,172.8577359,31.26384624,3908.841352
purple passion,114.9,14,17,11.5,damaged,P18,P18,P18,152.9006552,44.38555534,5264.572921
purple passion,195.6,20,17,11.5,,P19,P19,P19,228.608842,54.50006687,8698.713969
purple passion,35,20,11.5,6,,P20,P20,P20,212.4956123,41.2359741,3347.762673
purple passion,93.3,23,13.5,8,,P21,P21,P21,241.9761388,47.91428567,5943.477833
purple passion,92,21,14,8.5,,P22,P22,P22,230.7372196,63.84562131,5773.340644
purple passion,116.5,14.5,15,9.5,,P23,P23,P23,162.7483581,54.82921954,5606.357282
purple passion,51.2,24,11.5,6,,P25,P25,P24,249.6252632,54.16787065,4240.051259
purple passion,51.4,21,12,6.5,,P24,P24,P24,219.8771749,50.03225347,4168.49835
purple passion,56.2,29,12,6.5,,P25-2,P25-2,P25,301.4486362,47.43518982,4820.545047
purple passion,137.5,19,16,10.5,,P27,P27,P27,210.5332519,44.37389647,6602.280761
purple passion,196.4,20,19,13.5,,P28,P28,P28,216.5878386,59.69922915,8549.591361
purple passion,286.5,24,19,13.5,,P29,P29,P29,277.8725616,65.09362406,11475.69203
purple passion,179.7,21,18.5,13,,P30,P30,P30,229.8931292,49.40904898,7679.680489
BEAUREGARD GENEVA - ORANGE TAG GRAY DOTTED BOX,264.3,19,22,16.5,,R1,R01,R01,221.8848174,64.10164784,9424.218375
BEAUREGARD GENEVA - ORANGE TAG GRAY DOTTED BOX,623.4,22,29,23.5,,R2,R02,R02,282.8990448,90.39236276,17171.05496
BEAUREGARD GENEVA - ORANGE TAG GRAY DOTTED BOX,569.8,23,28,22.5,,R3,R03,R03,258.9305789,82.81620719,15890.78337
BEAUREGARD GENEVA - ORANGE TAG GRAY DOTTED BOX,358.8,19,24.5,19,,R4,R04,R04,204.0411108,75.38041783,11949.14077
BEAUREGARD GENEVA - ORANGE TAG GRAY DOTTED BOX,191.5,18,17,11.5,,R5,R05,R05,264.9295206,58.46593923,8025.636679
BEAUREGARD GENEVA - ORANGE TAG GRAY DOTTED BOX,223.4,16,21,15.5,,R6,R06,R06,179.4740082,64.00182657,8258.591467
BEAUREGARD GENEVA - ORANGE TAG GRAY DOTTED BOX,232.8,17,23,17.5,,R7,R07,R07,194.6239954,61.33625027,8436.521935
BEAUREGARD GENEVA - ORANGE TAG GRAY DOTTED BOX,267.5,20,23,17.5,,R8,R08,R08,237.7072733,87.16859758,10292.8193
